ParticipantID,Gender,Age,CharacterIdentity,Scenario,AgePair_AH_Position,Stage1_OlderChoice,Stage1_AH_SelectedOlder,Stage2_ComparisonOrder,HumanPair_Order,Stage2_Human_MoreArtifactsChoice,Stage2_Human_FinalMoreArtifacts,TTSPair_Order,Stage2_TTS_MoreArtifactsChoice,Stage2_TTS_FinalMoreArtifacts,Intelligibility_Scenario,Intelligibility_SpeechFidelity,Intelligibility_S01_Correct,Intelligibility_S01_Total,Intelligibility_S02_Correct,Intelligibility_S02_Total,Intelligibility_S03_Correct,Intelligibility_S03_Total,Intelligibility_S04_Correct,Intelligibility_S04_Total,Intelligibility_S05_Correct,Intelligibility_S05_Total,Intelligibility_S06_Correct,Intelligibility_S06_Total,Intelligibility_S07_Correct,Intelligibility_S07_Total,Intelligibility_S08_Correct,Intelligibility_S08_Total,Intelligibility_S09_Correct,Intelligibility_S09_Total,Intelligibility_S10_Correct,Intelligibility_S10_Total,Intelligibility_TotalCorrect,Intelligibility_TotalWords,Intelligibility_Accuracy,Stage3_Order,Stage3_Order_Detail,LipSync_AHSH,Gesture_AHSH,LipSync_AHSL,Gesture_AHSL,LipSync_ALSH,Gesture_ALSH,LipSync_ALSL,Gesture_ALSL
EX012,Female,26,F1,UC,Left,AH,1,HumanFirst,FinalFirst,Original,0,FinalFirst,Final,1,BC,SL,11,11,11,13,11,12,11,11,7,7,9,9,10,11,13,13,11,11,6,7,100,105,0.952381,S2,AHSL > ALSH > AHSH > ALSL,4,4,5,4,5,3,5,4
EX013,Male,26,M1,BC,Right,AL,0,HumanFirst,FinalFirst,Final,1,OriginalFirst,Final,1,UC,SH,9,9,11,12,9,10,7,7,11,12,10,12,,,,,,,,,57,62,0.919355,S3,ALSH > ALSL > AHSL > AHSH,3,3,4,3,5,3,4,3
EX014,Female,25,F2,BC,Left,AL,0,TTSFirst,OriginalFirst,Original,0,FinalFirst,Final,1,UC,SL,9,9,12,12,10,10,6,7,11,12,12,12,,,,,,,,,60,62,0.967742,S2,AHSL > ALSH > AHSH > ALSL,5,4,4,4,4,4,4,3
EX015,Male,22,M2,BC,Left,AL,0,TTSFirst,OriginalFirst,Original,0,FinalFirst,Original,0,UC,SH,9,9,12,12,9,10,7,7,12,12,12,12,,,,,,,,,61,62,0.983871,S1,AHSH > AHSL > ALSL > ALSH,3,4,4,4,4,4,3,4
EX016,Female,24,M2,BC,Right,AL,0,HumanFirst,FinalFirst,Final,1,FinalFirst,Final,1,UC,SH,9,9,12,12,8,10,7,7,12,12,12,12,,,,,,,,,60,62,0.967742,S3,ALSH > ALSL > AHSL > AHSH,5,4,5,4,4,4,5,4
EX017,Female,24,M2,BC,Left,AH,1,TTSFirst,OriginalFirst,Final,1,OriginalFirst,Final,1,UC,SL,9,9,12,12,10,10,7,7,11,12,12,12,,,,,,,,,61,62,0.983871,S1,AHSH > AHSL > ALSL > ALSH,4,5,4,5,5,5,5,4
EX018,Male,26,M1,UC,Left,AL,0,TTSFirst,OriginalFirst,Final,1,FinalFirst,Final,1,BC,SL,11,11,12,13,12,12,10,11,7,7,8,9,10,11,13,13,11,11,7,7,101,105,0.961905,S1,AHSH > AHSL > ALSL > ALSH,3,2,4,5,4,5,3,4
EX019,Female,25,F2,UC,Right,AH,1,HumanFirst,FinalFirst,Original,0,OriginalFirst,Original,0,BC,SH,11,11,12,13,10,12,11,11,7,7,9,9,10,11,13,13,10,11,7,7,100,105,0.952381,S4,ALSL > AHSH > ALSH > AHSL,4,3,3,2,4,4,4,4
EX020,Male,27,F1,BC,Right,AH,1,HumanFirst,OriginalFirst,Final,1,FinalFirst,Original,0,UC,SH,8,9,12,12,9,10,7,7,12,12,11,12,,,,,,,,,59,62,0.951613,S1,AHSH > AHSL > ALSL > ALSH,4,6,5,4,4,5,5,5
EX021,Male,25,M1,UC,Right,AL,0,TTSFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,BC,SH,11,11,13,13,12,12,9,11,7,7,9,9,11,11,12,13,10,11,6,7,100,105,0.952381,S3,ALSH > ALSL > AHSL > AHSH,3,5,3,4,4,3,3,4
EX022,Female,23,F2,UC,Left,AH,1,TTSFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,BC,SH,11,11,12,13,12,12,11,11,6,7,9,9,11,11,12,13,9,11,7,7,100,105,0.952381,S1,AHSH > AHSL > ALSL > ALSH,5,6,4,7,5,5,4,5
EX023,Male,27,F1,BC,Left,AH,1,HumanFirst,FinalFirst,Original,0,FinalFirst,Original,0,UC,SH,8,9,12,12,10,10,6,7,12,12,12,12,,,,,,,,,60,62,0.967742,S2,AHSL > ALSH > AHSH > ALSL,4,4,5,4,4,4,4,4
EX024,Male,23,M2,UC,Left,AL,0,HumanFirst,OriginalFirst,Final,1,FinalFirst,Original,0,BC,SL,11,11,13,13,11,12,11,11,7,7,8,9,11,11,12,13,10,11,7,7,101,105,0.961905,S3,ALSH > ALSL > AHSL > AHSH,5,4,4,3,4,5,4,4
EX025,Male,22,M1,UC,Left,AH,1,HumanFirst,FinalFirst,Original,0,OriginalFirst,Original,0,BC,SH,10,11,12,13,12,12,10,11,7,7,8,9,10,11,13,13,10,11,7,7,99,105,0.942857,S3,ALSH > ALSL > AHSL > AHSH,5,3,5,5,5,5,4,4
EX026,Male,24,F2,UC,Right,AH,1,HumanFirst,FinalFirst,Original,0,FinalFirst,Original,0,BC,SL,11,11,12,13,12,12,11,11,7,7,9,9,11,11,12,13,11,11,7,7,103,105,0.980952,S1,AHSH > AHSL > ALSL > ALSH,4,5,5,4,4,4,4,4
EX027,Female,27,M1,UC,Left,AL,0,TTSFirst,FinalFirst,Original,0,OriginalFirst,Original,0,BC,SL,11,11,13,13,11,12,11,11,6,7,9,9,11,11,13,13,11,11,7,7,103,105,0.980952,S2,AHSL > ALSH > AHSH > ALSL,5,5,5,4,3,6,5,7
EX028,Male,23,M2,UC,Left,AH,1,TTSFirst,OriginalFirst,Final,1,FinalFirst,Final,1,BC,SH,11,11,13,13,12,12,10,11,7,7,9,9,11,11,13,13,11,11,7,7,104,105,0.990476,S2,AHSL > ALSH > AHSH > ALSL,4,5,4,5,4,4,4,4
EX029,Male,21,M1,UC,Left,AL,0,HumanFirst,FinalFirst,Final,1,FinalFirst,Final,1,BC,SL,11,11,12,13,11,12,11,11,7,7,9,9,9,11,13,13,10,11,7,7,100,105,0.952381,S2,AHSL > ALSH > AHSH > ALSL,4,5,5,4,4,3,4,3
EX030,Female,24,F1,BC,Left,AL,0,TTSFirst,FinalFirst,Final,1,OriginalFirst,Final,1,UC,SL,9,9,11,12,10,10,7,7,11,12,11,12,,,,,,,,,59,62,0.951613,S2,AHSL > ALSH > AHSH > ALSL,5,4,4,4,3,4,3,4
EX031,Female,24,F2,BC,Left,AH,1,HumanFirst,FinalFirst,Original,0,FinalFirst,Final,1,UC,SL,9,9,10,12,10,10,7,7,11,12,12,12,,,,,,,,,59,62,0.951613,S1,AHSH > AHSL > ALSL > ALSH,4,3,3,3,4,4,5,3
EX032,Female,21,F1,BC,Left,AH,1,HumanFirst,FinalFirst,Original,0,OriginalFirst,Final,1,UC,SL,8,9,11,12,10,10,7,7,10,12,11,12,,,,,,,,,57,62,0.919355,S4,ALSL > AHSH > ALSH > AHSL,4,3,4,4,4,4,4,3
EX033,Male,22,F1,UC,Left,AH,1,HumanFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,BC,SH,11,11,13,13,11,12,9,11,7,7,8,9,10,11,13,13,11,11,7,7,100,105,0.952381,S1,AHSH > AHSL > ALSL > ALSH,4,3,4,3,4,3,4,4
EX034,Female,22,F2,UC,Left,AL,0,TTSFirst,FinalFirst,Original,0,OriginalFirst,Final,1,BC,SL,11,11,12,13,11,12,10,11,7,7,8,9,10,11,12,13,11,11,7,7,99,105,0.942857,S2,AHSL > ALSH > AHSH > ALSL,5,6,3,4,3,4,4,6
EX035,Male,22,M2,UC,Right,AH,1,HumanFirst,OriginalFirst,Original,0,OriginalFirst,Final,1,BC,SL,10,11,13,13,11,12,10,11,7,7,9,9,11,11,11,13,11,11,6,7,99,105,0.942857,S1,AHSH > AHSL > ALSL > ALSH,3,4,2,4,3,4,2,4
EX036,Male,24,M1,UC,Right,AH,1,TTSFirst,OriginalFirst,Original,0,OriginalFirst,Final,1,BC,SH,11,11,12,13,11,12,9,11,7,7,9,9,11,11,11,13,11,11,7,7,99,105,0.942857,S4,ALSL > AHSH > ALSH > AHSL,5,4,5,3,4,4,4,3
EX037,Female,24,F2,UC,Right,AL,0,HumanFirst,OriginalFirst,Final,1,FinalFirst,Final,1,BC,SL,11,11,10,13,12,12,10,11,7,7,9,9,11,11,12,13,11,11,7,7,100,105,0.952381,S2,AHSL > ALSH > AHSH > ALSL,5,5,4,4,4,5,4,5
EX038,Male,26,F1,UC,Right,AL,0,TTSFirst,FinalFirst,Final,1,FinalFirst,Final,1,BC,SL,10,11,11,13,12,12,11,11,7,7,8,9,10,11,12,13,11,11,7,7,99,105,0.942857,S1,AHSH > AHSL > ALSL > ALSH,4,4,4,5,5,4,5,4
EX039,Male,23,F2,BC,Right,AL,0,HumanFirst,OriginalFirst,Final,1,FinalFirst,Original,0,UC,SL,7,9,11,12,10,10,7,7,11,12,11,12,,,,,,,,,57,62,0.919355,S1,AHSH > AHSL > ALSL > ALSH,5,5,4,3,5,4,3,4
EX040,Female,24,F2,UC,Left,AH,1,HumanFirst,OriginalFirst,Final,1,FinalFirst,Final,1,BC,SH,11,11,13,13,12,12,11,11,7,7,9,9,11,11,12,13,10,11,7,7,103,105,0.980952,S4,ALSL > AHSH > ALSH > AHSL,3,3,3,5,4,3,4,3
EX041,Male,21,M1,BC,Left,AH,1,TTSFirst,OriginalFirst,Final,1,FinalFirst,Final,1,UC,SH,9,9,11,12,10,10,7,7,11,12,11,12,,,,,,,,,59,62,0.951613,S1,AHSH > AHSL > ALSL > ALSH,4,4,4,4,4,3,3,3
EX042,Female,25,M1,BC,Right,AL,0,TTSFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,UC,SL,9,9,12,12,10,10,7,7,10,12,12,12,,,,,,,,,60,62,0.967742,S4,ALSL > AHSH > ALSH > AHSL,4,5,4,4,4,5,4,3
EX043,Female,24,M1,BC,Right,AL,0,HumanFirst,FinalFirst,Final,1,FinalFirst,Final,1,UC,SL,9,9,12,12,10,10,7,7,12,12,10,12,,,,,,,,,60,62,0.967742,S2,AHSL > ALSH > AHSH > ALSL,4,3,4,2,4,3,4,3
EX044,Female,25,F2,UC,Left,AL,0,TTSFirst,OriginalFirst,Final,1,OriginalFirst,Original,0,BC,SH,11,11,13,13,11,12,11,11,7,7,9,9,11,11,12,13,11,11,7,7,103,105,0.980952,S3,ALSH > ALSL > AHSL > AHSH,3,5,4,4,3,5,4,4
EX045,Female,23,M2,UC,Left,AH,1,TTSFirst,FinalFirst,Final,1,FinalFirst,Final,1,BC,SH,11,11,13,13,12,12,11,11,7,7,9,9,11,11,12,13,11,11,7,7,104,105,0.990476,S4,ALSL > AHSH > ALSH > AHSL,5,3,4,4,4,3,5,4
EX046,Male,21,F1,BC,Left,AL,0,TTSFirst,OriginalFirst,Original,0,FinalFirst,Original,0,UC,SL,7,9,12,12,8,10,7,7,12,12,11,12,,,,,,,,,57,62,0.919355,S3,ALSH > ALSL > AHSL > AHSH,4,5,4,4,4,4,5,4
EX047,Female,24,F1,UC,Right,AL,0,HumanFirst,FinalFirst,Original,0,FinalFirst,Original,0,BC,SH,10,11,13,13,12,12,11,11,7,7,8,9,10,11,13,13,11,11,7,7,102,105,0.971429,S3,ALSH > ALSL > AHSL > AHSH,4,4,4,4,3,4,4,5
EX048,Male,25,F2,BC,Right,AH,1,TTSFirst,FinalFirst,Original,0,OriginalFirst,Original,0,UC,SH,9,9,12,12,10,10,7,7,11,12,12,12,,,,,,,,,61,62,0.983871,S4,ALSL > AHSH > ALSH > AHSL,4,4,4,4,4,3,4,3
EX049,Female,22,F1,UC,Right,AL,0,TTSFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,BC,SH,9,11,13,13,12,12,10,11,6,7,8,9,11,11,13,13,9,11,6,7,97,105,0.92381,S2,AHSL > ALSH > AHSH > ALSL,3,5,3,3,3,4,3,4
EX050,Female,21,M1,BC,Left,AL,0,HumanFirst,OriginalFirst,Final,1,FinalFirst,Original,0,UC,SH,9,9,12,12,10,10,7,7,10,12,12,12,,,,,,,,,60,62,0.967742,S1,AHSH > AHSL > ALSL > ALSH,4,5,4,4,4,4,5,4
EX051,Male,25,F1,BC,Right,AL,0,TTSFirst,FinalFirst,Original,0,OriginalFirst,Original,0,UC,SL,9,9,12,12,8,10,7,7,12,12,12,12,,,,,,,,,60,62,0.967742,S4,ALSL > AHSH > ALSH > AHSL,4,2,4,3,4,5,5,5
EX052,Female,26,M2,BC,Right,AH,1,TTSFirst,FinalFirst,Final,1,OriginalFirst,Original,0,UC,SL,9,9,12,12,10,10,7,7,10,12,12,12,,,,,,,,,60,62,0.967742,S2,AHSL > ALSH > AHSH > ALSL,5,4,5,6,4,4,4,5
EX053,Female,23,F2,BC,Right,AH,1,TTSFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,UC,SL,9,9,11,12,10,10,7,7,12,12,11,12,,,,,,,,,60,62,0.967742,S2,AHSL > ALSH > AHSH > ALSL,3,3,4,4,3,3,2,3
EX054,Male,24,M1,BC,Right,AH,1,TTSFirst,OriginalFirst,Final,1,OriginalFirst,Final,1,UC,SL,9,9,10,12,8,10,6,7,11,12,12,12,,,,,,,,,56,62,0.903226,S4,ALSL > AHSH > ALSH > AHSL,4,3,5,4,4,4,4,4
EX055,Female,25,F1,BC,Right,AL,0,TTSFirst,OriginalFirst,Final,1,FinalFirst,Final,1,UC,SH,9,9,12,12,10,10,7,7,11,12,12,12,,,,,,,,,61,62,0.983871,S1,AHSH > AHSL > ALSL > ALSH,4,3,4,4,4,4,4,4
EX056,Female,23,M1,BC,Left,AH,1,TTSFirst,FinalFirst,Original,0,OriginalFirst,Original,0,UC,SH,9,9,12,12,9,10,7,7,11,12,11,12,,,,,,,,,59,62,0.951613,S3,ALSH > ALSL > AHSL > AHSH,5,4,5,4,4,4,4,4
EX057,Male,23,F1,UC,Left,AH,1,TTSFirst,FinalFirst,Original,0,FinalFirst,Final,1,BC,SL,10,11,11,13,12,12,11,11,7,7,8,9,10,11,13,13,11,11,7,7,100,105,0.952381,S4,ALSL > AHSH > ALSH > AHSL,4,5,4,5,3,5,3,5
EX058,Male,25,M2,UC,Left,AH,1,HumanFirst,FinalFirst,Final,1,FinalFirst,Final,1,BC,SH,10,11,13,13,12,12,9,11,7,7,9,9,11,11,12,13,11,11,7,7,101,105,0.961905,S3,ALSH > ALSL > AHSL > AHSH,3,4,4,4,5,5,4,4
EX059,Female,25,M1,UC,Right,AL,0,HumanFirst,OriginalFirst,Final,1,FinalFirst,Final,1,BC,SL,11,11,12,13,11,12,10,11,7,7,9,9,10,11,12,13,9,11,6,7,97,105,0.92381,S1,AHSH > AHSL > ALSL > ALSH,4,5,3,6,3,4,4,4
EX060,Female,26,F1,BC,Right,AL,0,HumanFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,UC,SH,8,9,11,12,8,10,7,7,11,12,11,12,,,,,,,,,56,62,0.903226,S3,ALSH > ALSL > AHSL > AHSH,5,4,3,4,3,4,4,4
EX061,Male,26,M2,UC,Right,AL,0,TTSFirst,FinalFirst,Final,1,OriginalFirst,Final,1,BC,SL,11,11,13,13,11,12,10,11,7,7,8,9,11,11,11,13,10,11,6,7,98,105,0.933333,S1,AHSH > AHSL > ALSL > ALSH,5,3,4,2,4,5,4,4
EX062,Male,24,M2,UC,Right,AL,0,TTSFirst,FinalFirst,Original,0,OriginalFirst,Original,0,BC,SL,11,11,13,13,12,12,9,11,7,7,9,9,10,11,13,13,11,11,7,7,102,105,0.971429,S2,AHSL > ALSH > AHSH > ALSL,4,3,4,4,5,4,4,3
EX063,Female,22,F2,BC,Left,AH,1,HumanFirst,FinalFirst,Original,0,FinalFirst,Final,1,UC,SH,8,9,12,12,10,10,7,7,11,12,11,12,,,,,,,,,59,62,0.951613,S4,ALSL > AHSH > ALSH > AHSL,4,5,3,3,4,4,4,3
EX064,Male,23,M1,BC,Left,AL,0,HumanFirst,FinalFirst,Final,1,FinalFirst,Final,1,UC,SL,7,9,11,12,10,10,7,7,11,12,11,12,,,,,,,,,57,62,0.919355,S2,AHSL > ALSH > AHSH > ALSL,2,3,4,4,2,3,2,3
